dki jakarta;10000;15000;20000;30000;40000
jawa barat;15000;20000;25000;35000;45000
jawa tengah;15000;20000;25000;35000;45000
jawa timur;20000;25000;30000;40000;50000
bali;25000;30000;35000;40000;50000
sumatera utara;25000;30000;35000;40000;50000
sumatera barat;25000;30000;35000;40000;50000
sumatera selatan;20000;25000;30000;40000;50000
kalimantan;35000;40000;50000;60000;80000
sulawesi;40000;50000;60000;75000;100000
maluku;45000;55000;65000;80000;110000
papua;65000;75000;90000;110000;150000
nusa tenggara;35000;40000;50000;60000;80000
